ID;Disciplina;Pageviews;UniquePageviews;BounceRate;Year;AverTimePage;Zemlja;Kontinent;OblastStudija
5424;Menadžment;612;570;74.58%;2013;00:02:39;Srbija;Evropa;Društvene nauke
5431;Biološke nauke;481;454;46.84%;2013;00:03:53;Italija;Evropa;Prirodne nauke
5432;Ekonomija, bankarstvo i finansije;242;233;52.00%;2013;00:01:03;Litvanija;Evropa;Društvene nauke
5433;Medicina;231;224;36.84%;2013;00:01:32;UK;Evropa;Medicinske nauke
5434;Marketing i PR;179;171;65.52%;2013;00:02:29;UK;Evropa;Društvene nauke
5440;Pravo;204;198;50.00%;2013;00:03:31;Australija;Australija;Društvene nauke
5441;Ekonomija, bankarstvo i finansije;312;302;51.92%;2013;00:03:02;Francuska;Evropa;Društvene nauke
5446;Ekonomija, bankarstvo i finansije;672;639;55.17%;2013;00:01:28;Italija;Evropa;Društvene nauke
5451;Političke nauke;634;613;70.13%;2013;00:03:24;Nemačka;Evropa;Društvene nauke
5452;Ekonomija, bankarstvo i finansije;984;922;54.55%;2013;00:01:11;Australija;Australija;Društvene nauke
5460;Marketing i PR;285;275;60.98%;2013;00:01:03;Srbija;Evropa;Društvene nauke
5466;Upravne i organizacijske nauke;348;337;37.00%;2013;00:02:58;UK;Evropa;Društvene nauke
5467;Političke nauke;150;148;15.38%;2013;00:01:04;UK;Evropa;Društvene nauke
5468;Fizika;228;218;23.73%;2013;00:01:14;UK;Evropa;Prirodne nauke
5469;Upravne i organizacijske nauke;175;174;54.55%;2013;00:01:35;UK;Evropa;Društvene nauke
5477;Filmska umetnost;267;257;35.25%;2013;00:01:11;Italija;Evropa;Umetnost
5490;Pravo;832;788;38.30%;2013;00:01:14;Australija;Australija;Društvene nauke
5494;Medicina;144;139;53.85%;2013;00:02:12;UK;Evropa;Medicinske nauke
5495;Administracija;315;303;58.67%;2013;00:01:06;UK;Evropa;Društvene nauke
5496;Biološke nauke;188;178;42.11%;2013;00:01:44;UK;Evropa;Prirodne nauke
5506;Ekonomija, bankarstvo i finansije;297;287;83.33%;2013;00:02:31;UK;Evropa;Društvene nauke
5511;Menadžment;619;584;32.84%;2013;00:01:02;Mađarska;Evropa;Društvene nauke
5515;Fizika;27;26;50.00%;2013;00:02:14;Nemačka;Evropa;Prirodne nauke
5517;Biološke nauke;3205;2887;58.31%;2013;00:01:45;Nemačka;Evropa;Prirodne nauke
5518;Biološke nauke;520;493;29.37%;2013;00:01:15;Francuska;Evropa;Prirodne nauke
5519;Veterina;481;467;45.22%;2013;00:01:20;Rumunija;Evropa;Biotehničke nauke
5524;Filmska umetnost;985;961;35.78%;2013;00:01:12;Srbija;Evropa;Umetnost
5526;Istorija;1436;1379;53.49%;2013;00:04:41;Austrija;Evropa;Humanističke nauke
5530;Biološke nauke;392;379;25.68%;2013;00:02:15;Slovačka;Evropa;Prirodne nauke
5531;Ekonomija, bankarstvo i finansije;434;416;45.25%;2013;00:03:18;UK;Evropa;Društvene nauke
5532;Ekonomija, bankarstvo i finansije;326;307;41.60%;2013;00:03:47;EU;EU;Društvene nauke
5534;Ekonomija, bankarstvo i finansije;717;690;60.41%;2013;00:02:11;Egipat;Afrika;Društvene nauke
5539;Biološke nauke;967;888;34.43%;2013;00:01:06;Švajcarska;Evropa;Prirodne nauke
5540;Biološke nauke;1381;1283;68.83%;2013;00:01:44;Srbija;Evropa;Prirodne nauke
5544;Biološke nauke;202;194;76.92%;2013;00:00:52;UK;Evropa;Prirodne nauke
5545;Matematika;201;191;42.86%;2013;00:01:02;UK;Evropa;Prirodne nauke
5546;Informacione tehnologije;110;104;30.00%;2013;00:01:02;Češka;Evropa;Tehničke nauke
5547;Ekonomija, bankarstvo i finansije;246;225;78.95%;2013;00:03:27;Italija;Evropa;Društvene nauke
5548;Pravo;196;187;25.22%;2013;00:01:52;UK;Evropa;Društvene nauke
5549;Biološke nauke;295;285;56.38%;2013;00:01:34;Španija;Evropa;Prirodne nauke
5550;Industrijsko inženjerstvo;319;309;35.71%;2013;00:01:11;Francuska;Evropa;Tehničke nauke
5555;Biološke nauke;163;162;54.05%;2013;00:01:31;Kina;Azija;Prirodne nauke
5556;Medicina;121;116;48.28%;2013;00:02:20;Austrija;Evropa;Medicinske nauke
5557;Informacione tehnologije;129;125;29.11%;2013;00:04:53;Italija;Evropa;Tehničke nauke
5558;Fizika;200;194;39.62%;2013;00:00:52;Belgija;Evropa;Prirodne nauke
5559;Informacione tehnologije;257;232;53.73%;2013;00:03:34;Švajcarska;Evropa;Tehničke nauke
5560;Zaštita životne sredine (ekologija);184;172;19.19%;2013;00:05:00;Nemačka;Evropa;Prirodne nauke
5561;Informacione tehnologije;143;133;59.15%;2013;00:01:27;Srbija;Evropa;Tehničke nauke
5564;Matematika;609;583;58.90%;2013;00:03:58;Srbija;Evropa;Prirodne nauke
5565;Ekonomija, bankarstvo i finansije;194;184;33.33%;2013;00:00:48;UK;Evropa;Društvene nauke
5566;Medicina;647;622;23.21%;2013;00:01:26;Turska;Evropa;Medicinske nauke
5567;Ekonomija, bankarstvo i finansije;419;397;30.77%;2013;00:01:04;Italija;Evropa;Društvene nauke
5568;Sociologija;287;271;34.78%;2013;00:01:02;Španija;Evropa;Društvene nauke
5569;Sociologija;147;133;73.33%;2013;00:01:11;UK;Evropa;Društvene nauke
5574;Elektrotehnika;188;183;33.33%;2013;00:01:10;UK;Evropa;Tehničke nauke
5575;Pravo;955;889;58.02%;2013;00:01:21;UK;Evropa;Društvene nauke
5576;Biološke nauke;668;656;78.05%;2013;00:01:53;SAD;Severna Amerika;Prirodne nauke
5588;Informacione tehnologije;175;171;53.49%;2013;00:01:01;Holandija;Evropa;Tehničke nauke
5589;Hemija;464;422;63.27%;2013;00:01:06;UK;Evropa;Prirodne nauke
5590;Ekonomija, bankarstvo i finansije;3840;3584;60.25%;2013;00:01:33;SAD;Evropa;Društvene nauke
5591;Ekonomija, bankarstvo i finansije;1399;1284;37.57%;2013;00:00:54;Japan;Azija;Društvene nauke
5592;Političke nauke;161;157;68.42%;2013;00:01:27;Belorusija;Evropa;Društvene nauke
5593;Turizam i ugostiteljstvo;1074;1027;50.20%;2013;00:01:16;Srbija;Evropa;Društvene nauke
5596;Biološke nauke;1676;1554;61.62%;2013;00:01:48;Srbija;Evropa;Prirodne nauke
5597;Elektrotehnika;258;245;56.25%;2013;00:00:58;Kina;Azija;Tehničke nauke
5598;Fizika;386;360;50.00%;2013;00:01:01;Nemačka;Evropa;Prirodne nauke
5599;Ekonomija, bankarstvo i finansije;332;322;64.29%;2013;00:01:02;Italija;Evropa;Društvene nauke
5600;Informacione tehnologije;162;158;47.62%;2013;00:01:09;Francuska;Evropa;Tehničke nauke
5601;Sociologija;534;510;41.87%;2013;00:01:27;EU;EU;Društvene nauke
5602;Ekonomija, bankarstvo i finansije;2581;2399;43.37%;2013;00:01:23;Norveška;Evropa;Društvene nauke
5604;Turizam i ugostiteljstvo;1579;1483;61.18%;2013;00:01:42;EU;EU;Društvene nauke
5605;Fizika;584;553;47.18%;2013;00:00:46;Nemačka;Evropa;Prirodne nauke
5606;Filozofija;2088;1933;48.02%;2013;00:01:17;EU;EU;Humanističke nauke
5607;Administracija;1639;1552;66.61%;2013;00:01:45;UK;Evropa;Društvene nauke
5608;Dramska umetnost;215;193;50.00%;2013;00:01:13;Srbija;Evropa;Umetnost
5609;Ekonomija, bankarstvo i finansije;1232;1159;42.49%;2013;00:01:15;Grčka;Evropa;Društvene nauke
5610;Medicina;2033;1911;64.58%;2013;00:01:05;Sirija;Azija;Medicinske nauke
5611;Ekonomija, bankarstvo i finansije;1997;1829;60.77%;2013;00:01:20;EU;EU;Društvene nauke
5612;Filologija;287;277;51.35%;2013;00:01:14;Bugarska;Evropa;Humanističke nauke
5613;Filologija;203;196;68.09%;2013;00:01:11;Mađarska;Evropa;Humanističke nauke
5614;Ekonomija, bankarstvo i finansije;1182;1102;53.36%;2013;00:01:15;Australija;Australija;Društvene nauke
5615;Biološke nauke;520;498;48.25%;2013;00:01:23;Nemačka;Evropa;Prirodne nauke
5616;Muzička umetnost;898;844;51.68%;2013;00:01:36;Portugal;Evropa;Umetnost
5617;Matematika;1822;1733;80.80%;2013;00:02:09;Srbija;Evropa;Prirodne nauke
5618;Matematika;77;73;77.78%;2013;00:00:55;Srbija;Evropa;Prirodne nauke
5619;Zaštita životne sredine (ekologija);992;933;73.63%;2013;00:01:41;Nemačka;Evropa;Prirodne nauke
5620;Ekonomija, bankarstvo i finansije;203;184;47.52%;2013;00:01:57;Srbija;Evropa;Društvene nauke
5621;Filologija;305;286;61.21%;2013;00:01:18;Srbija;Evropa;Humanističke nauke
5622;Ekonomija, bankarstvo i finansije;3077;2856;67.91%;2013;00:01:32;Srbija;Evropa;Društvene nauke
5623;Hemija;297;280;60.42%;2013;00:01:27;Danska;Evropa;Prirodne nauke
5624;Marketing i PR;1339;1233;66.14%;2013;00:02:08;Srbija;Evropa;Društvene nauke
5625;Političke nauke;507;478;63.01%;2013;00:01:44;Norveška;Evropa;Društvene nauke
5626;Ekonomija, bankarstvo i finansije;1552;1480;54.99%;2013;00:01:15;Australija;Australija;Društvene nauke
5627;Modni dizajn;829;755;67.70%;2013;00:02:12;Italija;Evropa;Umetnost
5628;Biološke nauke;730;684;44.09%;2013;00:01:28;Nemačka;Evropa;Prirodne nauke
5629;Pravo;1530;1457;59.65%;2013;00:01:10;Holandija;Evropa;Društvene nauke
5630;Ekonomija, bankarstvo i finansije;149;139;77.19%;2013;00:01:17;Austrija;Evropa;Društvene nauke
5631;Biološke nauke;1533;1391;63.48%;2013;00:01:25;Srbija;Evropa;Prirodne nauke
5632;Dramska umetnost;183;178;61.40%;2013;00:01:04;Grčka;Evropa;Umetnost
5633;Pravo;420;401;54.50%;2013;00:01:15;Nemačka;Evropa;Društvene nauke
5634;Sociologija;564;543;55.00%;2013;00:01:27;Nemačka;Evropa;Društvene nauke
5635;Ekonomija, bankarstvo i finansije;327;311;38.94%;2013;00:01:07;UK;Evropa;Društvene nauke
5636;Ekonomija, bankarstvo i finansije;386;367;62.50%;2013;00:01:10;Italija;Evropa;Društvene nauke
5637;Političke nauke;1063;955;49.73%;2013;00:01:30;Italija;Evropa;Društvene nauke
5638;Fizika;146;140;47.14%;2013;00:01:02;Holandija;Evropa;Prirodne nauke
5641;Ekonomija, bankarstvo i finansije;1162;1106;44.97%;2013;00:01:13;Italija;Evropa;Društvene nauke
5644;Zaštita životne sredine (ekologija);508;472;71.74%;2013;00:01:40;Nemačka;Evropa;Prirodne nauke
5646;Mašinstvo;3585;3315;60.31%;2013;00:01:19;Nemačka;Evropa;Tehničke nauke
5648;Ekonomija, bankarstvo i finansije;885;828;34.83%;2013;00:00:52;Italija;Evropa;Društvene nauke
5649;Biološke nauke;673;632;34.98%;2013;00:02:20;Italija;Evropa;Prirodne nauke
5650;Biološke nauke;385;366;25.86%;2013;00:00:44;Italija;Evropa;Prirodne nauke
5651;Biološke nauke;1316;1261;50.75%;2013;00:00:55;Italija;Evropa;Prirodne nauke
5652;Ekonomija, bankarstvo i finansije;226;195;76.74%;2013;00:01:22;Srbija;Evropa;Društvene nauke
5653;Istorija;525;488;47.93%;2013;00:01:10;Italija;Evropa;Humanističke nauke
5654;Ekonomija, bankarstvo i finansije;459;432;46.67%;2013;00:01:08;Švajcarska;Evropa;Društvene nauke
5655;Ekonomija, bankarstvo i finansije;242;227;66.25%;2013;00:01:51;Belgija;Evropa;Društvene nauke
5656;Matematika;1423;1322;59.71%;2013;00:01:17;Slovenija;Evropa;Prirodne nauke
5657;Ekonomija, bankarstvo i finansije;1829;1710;57.59%;2013;00:01:25;Švajcarska;Evropa;Društvene nauke
5658;Ekonomija, bankarstvo i finansije;727;687;52.76%;2013;00:01:15;Francuska;Evropa;Društvene nauke
5659;Ekonomija, bankarstvo i finansije;1060;991;58.79%;2013;00:01:13;Češka;Evropa;Društvene nauke
5660;Biološke nauke;12232;1083;59.52%;2013;00:02:00;Italija;Evropa;Prirodne nauke
5661;Zaštita životne sredine (ekologija);1207;1120;62.66%;2013;00:01:26;Češka;Evropa;Prirodne nauke
5662;Likovna umetnost;328;303;50.98%;2013;00:01:02;Švajcarska;Evropa;Umetnost
5663;Pravo;725;683;56.60%;2013;00:01:10;Australija;Australija;Društvene nauke
5664;Književnost;567;540;65.25%;2013;00:00:57;Nemačka;Evropa;Umetnost
5666;Zaštita životne sredine (ekologija);833;798;52.48%;2013;00:01:17;UK;Evropa;Prirodne nauke
5667;Političke nauke;810;780;41.03%;2013;00:00:52;Srbija;Evropa;Društvene nauke
5669;Filologija;3305;3091;63.13%;2013;00:01:26;Nemačka;Evropa;Humanističke nauke
5670;Filologija;2820;2541;60.67%;2013;00:01:49;Nemačka;Evropa;Humanističke nauke
5671;Arhitektura i urbanizam;1432;1278;75.25%;2013;00:02:38;Nemačka;Evropa;Tehničke nauke
5672;Biološke nauke;712;675;68.56%;2013;00:02:02;Finska;Evropa;Prirodne nauke
5673;Biološke nauke;544;510;36.36%;2013;00:00:57;Tajland;Evropa;Prirodne nauke
5675;Pravo;264;244;56.10%;2013;00:01:37;Bosna i Hercegovina;Evropa;Društvene nauke
5676;Pravo;370;339;33.70%;2013;00:00:53;Nemačka;Evropa;Društvene nauke
5678;Ekonomija, bankarstvo i finansije;1170;1101;43.81%;2013;00:01:10;Australija;Australija;Društvene nauke
5679;Inženjerstvo;773;732;28.03%;2013;00:01:07;Singapur;Azija;Tehničke nauke
5680;Biološke nauke;2121;1958;67.87%;2013;00:01:47;SAD;Severna Amerika;Prirodne nauke
5683;Političke nauke;333;314;44.36%;2013;00:01:18;Italija;Evropa;Društvene nauke
5684;Političke nauke;326;294;51.28%;2013;00:02:17;Danska;Evropa;Društvene nauke
5685;Sociologija;839;797;63.77%;2013;00:01:06;Nemačka;Evropa;Društvene nauke
5686;Medicina;322;295;59.70%;2013;00:01:07;SAD;Severna Amerika;Medicinske nauke
5688;Ekonomija, bankarstvo i finansije;341;333;59.46%;2013;00:01:16;Srbija;Evropa;Društvene nauke
5689;Ekonomija, bankarstvo i finansije;634;591;71.90%;2013;00:01:35;Austrija;Evropa;Društvene nauke
5691;Inženjerstvo;119;112;67.74%;2013;00:01:15;Danska;Evropa;Tehničke nauke
5693;Filmska umetnost;629;595;75.00%;2013;00:01:44;Mađarska;Evropa;Umetnost
5694;Hemija;446;430;33.81%;2013;00:00:57;Malezija;Evropa;Prirodne nauke
5695;Ekonomija, bankarstvo i finansije;571;538;54.30%;2013;00:01:27;Južna Koreja;Azija;Društvene nauke
5697;Ekonomija, bankarstvo i finansije;423;396;47.62%;2013;00:01:08;Nemačka;Evropa;Društvene nauke
5698;Informacione tehnologije;369;342;56.47%;2013;00:01:22;Francuska;Evropa;Tehničke nauke
5699;Političke nauke;867;813;52.49%;2013;00:01:50;Belgija;Evropa;Društvene nauke
5700;Političke nauke;912;854;70.17%;2013;00:01:20;Srbija;Evropa;Društvene nauke
5701;Filologija;2516;2362;59.05%;2013;00:01:46;Srbija;Evropa;Humanističke nauke
5703;Ekonomija, bankarstvo i finansije;962;902;61.92%;2013;00:01:29;Srbija;Evropa;Društvene nauke
5704;Ekonomija, bankarstvo i finansije;1190;1149;65.26%;2013;00:00:54;Japan;Evropa;Društvene nauke
5706;Filozofija;389;368;38.46%;2013;00:01:02;Nemačka;Evropa;Humanističke nauke
5708;Biološke nauke;1480;1395;73.40%;2013;00:01:51;Francuska;Evropa;Prirodne nauke
5709;Hemija;227;210;63.83%;2013;00:01:43;Singapur;Azija;Prirodne nauke
5710;Mediji i komunikacije;354;328;46.84%;2013;00:01:32;Danska;Evropa;Društvene nauke
5712;Ekonomija, bankarstvo i finansije;945;865;57.30%;2013;00:01:37;Slovačka;Evropa;Društvene nauke
5714;Ekonomija, bankarstvo i finansije;157;144;80.95%;2013;00:01:36;Bosna i Hercegovina;Evropa;Društvene nauke
5715;Fizika;666;646;57.79%;2013;00:01:39;Francuska;Evropa;Prirodne nauke
5716;Pravo;1312;1221;51.36%;2013;00:01:20;Australija;Australija;Društvene nauke
5718;Matematika;763;717;50.00%;2013;00:00:51;Nemačka;Evropa;Prirodne nauke
5719;Sociologija;529;505;66.89%;2013;00:01:37;Danska;Evropa;Društvene nauke
5724;Ekonomija, bankarstvo i finansije;367;349;37.84%;2013;00:00:57;Nemačka;Evropa;Društvene nauke
5728;Političke nauke;450;421;70.91%;2013;00:01:08;Holandija;Evropa;Društvene nauke
5734;Dramska umetnost;317;301;75.68%;2013;00:00:57;Mađarska;Evropa;Umetnost
5737;Ekonomija, bankarstvo i finansije;137;123;69.39%;2013;00:01:41;Srbija;Evropa;Društvene nauke
5739;Medicina;244;228;61.54%;2013;00:01:23;Poljska;Evropa;Medicinske nauke
5740;Menadžment;3861;3598;62.39%;2013;00:01:27;Nemačka;Evropa;Društvene nauke
5741;Biološke nauke;537;524;68.84%;2013;00:01:15;Srbija;Evropa;Prirodne nauke
5743;Ekonomija, bankarstvo i finansije;456;428;78.08%;2013;00:01:18;Holandija;Evropa;Društvene nauke
5744;Sociologija;302;290;64.52%;2013;00:00:57;Francuska;Evropa;Društvene nauke
5745;Medicina;353;323;85.45%;2013;00:02:24;UK;Evropa;Medicinske nauke
5746;Farmacija;119;110;67.74%;2013;00:01:30;UK;Evropa;Medicinske nauke
5747;Likovna umetnost;416;404;75.00%;2013;00:01:44;UK;Evropa;Umetnost
5748;Filologija;557;531;61.75%;2013;00:01:18;Francuska;Evropa;Humanističke nauke
5749;Zaštita životne sredine (ekologija);461;437;64.88%;2013;00:01:53;Holandija;Evropa;Prirodne nauke
5750;Ekonomija, bankarstvo i finansije;834;785;33.54%;2013;00:01:11;Italija;Evropa;Društvene nauke
5751;Ekonomija, bankarstvo i finansije;1588;1524;72.66%;2013;00:02:18;Japan;Azija;Društvene nauke
5752;Pravo;288;263;72.73%;2013;00:01:36;Švajcarska;Evropa;Društvene nauke
5753;Ekonomija, bankarstvo i finansije;557;521;63.16%;2013;00:01:28;UK;Evropa;Društvene nauke
5754;Biološke nauke;687;636;69.01%;2013;00:02:10;Švedska;Evropa;Prirodne nauke
5755;Menadžment;374;361;53.33%;2013;00:01:33;Švajcarska;Evropa;Društvene nauke
5756;Sociologija;340;311;87.30%;2013;00:01:38;Holandija;Evropa;Društvene nauke
5757;Hemija;186;174;0.00%;2013;00:00:59;UK;Evropa;Prirodne nauke
5758;Ekonomija, bankarstvo i finansije;152;147;0.00%;2013;00:01:25;UK;Evropa;Društvene nauke
5760;Ekonomija, bankarstvo i finansije;253;234;50.00%;2013;00:01:12;Austrija;Evropa;Društvene nauke
5761;Ekonomija, bankarstvo i finansije;87;81;0.00%;2013;00:01:06;UK;Evropa;Društvene nauke
5763;Sociologija;392;376;70.00%;2013;00:01:03;EU;EU;Društvene nauke
5764;Pravo;736;698;55.26%;2013;00:01:36;Švajcarska;Evropa;Društvene nauke
5766;Političke nauke;170;158;56.76%;2013;00:01:45;Italija;Evropa;Društvene nauke
5767;Menadžment;723;693;65.84%;2013;00:01:10;Srbija;Evropa;Društvene nauke
5771;Biološke nauke;309;287;66.67%;2013;00:01:49;Italija;Evropa;Prirodne nauke
5772;Dizajn ;364;347;66.22%;2013;00:01:22;Srbija;Evropa;Umetnost
5773;Filozofija;143;135;45.45%;2013;00:01:17;Mađarska;Evropa;Humanističke nauke
5774;Istorija;322;308;76.00%;2013;00:01:30;Nemačka;Evropa;Humanističke nauke
5779;Političke nauke;387;368;55.81%;2013;00:01:16;Nemačka;Evropa;Društvene nauke
5780;Političke nauke;184;178;73.33%;2013;00:00:56;Nemačka;Evropa;Društvene nauke
5781;Političke nauke;295;280;43.10%;2013;00:01:15;Nemačka;Evropa;Društvene nauke
5782;Matematika;178;161;72.22%;2013;00:01:08;Norveška;Evropa;Prirodne nauke
5784;Turizam i ugostiteljstvo;476;454;74.56%;2013;00:02:09;Danska;Evropa;Društvene nauke
5789;Ekonomija, bankarstvo i finansije;522;486;38.54%;2013;00:01:14;Italija;Evropa;Društvene nauke
5790;Ekonomija, bankarstvo i finansije;145;137;73.33%;2013;00:02:41;Italija;Evropa;Društvene nauke
5791;Menadžment;462;437;39.00%;2013;00:00:59;Italija;Evropa;Društvene nauke
5792;Ekonomija, bankarstvo i finansije;369;356;47.54%;2013;00:01:08;Italija;Evropa;Društvene nauke
5793;Informacione tehnologije;7;7;100.00%;2013;00:00:13;Nemačka;Evropa;Tehničke nauke
5794;Informacione tehnologije;6;5;33.33%;2013;00:01:24;Francuska;Evropa;Tehničke nauke
5795;Fizika;1907;1767;80.47%;2013;00:02:44;Srbija;Evropa;Prirodne nauke
5798;Menadžment;120;108;55.56%;2013;00:02:03;Francuska;Evropa;Društvene nauke
5799;Istorija;106;100;69.44%;2013;00:00:46;Mađarska;Evropa;Humanističke nauke
5800;Fizika;199;189;62.32%;2013;00:04:52;Holandija;Evropa;Prirodne nauke
5801;Arheologija;67;66;76.00%;2013;00:01:21;Portugal;Evropa;Humanističke nauke
5803;Menadžment;457;435;38.43%;2013;00:01:19;Italija;Evropa;Društvene nauke
5806;Političke nauke;182;177;47.83%;2013;00:00:35;Švedska;Evropa;Društvene nauke
5807;Ekonomija, bankarstvo i finansije;408;383;69.44%;2013;00:01:50;Australija;Australija;Društvene nauke
5808;Sociologija;195;188;55.56%;2013;00:01:00;Mađarska;Evropa;Društvene nauke
5809;Arhitektura i urbanizam;121;113;58.33%;2013;00:01:31;Francuska;Evropa;Tehničke nauke
5810;Političke nauke;164;157;69.23%;2013;00:01:27;UK;Evropa;Društvene nauke
5811;Ekonomija, bankarstvo i finansije;143;137;71.88%;2013;00:01:52;Holandija;Evropa;Društvene nauke
5812;Zaštita životne sredine (ekologija);476;439;54.78%;2013;00:02:03;EU;EU;Prirodne nauke
5813;Elektrotehnika;153;150;66.67%;2013;00:00:34;Portugal;Evropa;Tehničke nauke
5814;Informacione tehnologije;69;66;44.83%;2013;00:01:24;UK;Evropa;Tehničke nauke
5815;Biološke nauke;137;130;55.10%;2013;00:01:45;UK;Evropa;Prirodne nauke
5817;Pravo;89;87;86.96%;2013;00:01:00;UK;Evropa;Društvene nauke
5818;Sociologija;110;108;90.24%;2013;00:01:33;Mađarska;Evropa;Društvene nauke
5820;Likovna umetnost;16;15;0.00%;2013;00:01:16;Grčka;Evropa;Umetnost
5823;Ekonomija, bankarstvo i finansije;8;6;0.00%;2013;00:03:37;Francuska;Evropa;Društvene nauke
5824;Zaštita životne sredine (ekologija);11;11;0.00%;2013;00:02:10;Nemačka;Evropa;Prirodne nauke
5825;Ekonomija, bankarstvo i finansije;5;5;0.00%;2013;00:03:41;Italija;Evropa;Društvene nauke
5828;Ekonomija, bankarstvo i finansije;1317;1243;60.53%;2014;00:01:13;Nemačka;Evropa;Društvene nauke
5829;Pravo;702;652;69.84%;2014;00:02:08;Holandija;Evropa;Društvene nauke
5830;Ekonomija, bankarstvo i finansije;895;842;34.83%;2014;00:02:18;Nemačka;Evropa;Društvene nauke
5831;Farmacija;169;157;78.69%;2014;00:01:50;UK;Evropa;Medicinske nauke
5832;Dramska umetnost;2686;2419;74.86%;2014;00:01:32;Nemačka;Evropa;Umetnost
5835;Ekonomija, bankarstvo i finansije;1933;1760;58.45%;2014;00:01:43;Švedska;Evropa;Društvene nauke
5836;Hemija;977;922;55.34%;2014;00:01:28;Tajland;Azija;Prirodne nauke
5837;Biološke nauke;656;622;64.84%;2014;00:01:28;Češka;Evropa;Prirodne nauke
5839;Menadžment;445;430;62.37%;2014;00:01:24;Finska;Evropa;Društvene nauke
5840;Medicina;719;679;60.58%;2014;00:01:15;Turska;Evropa;Medicinske nauke
5842;Matematika;439;415;73.11%;2014;00:01:18;Australija;Australija;Prirodne nauke
5843;Biološke nauke;347;337;50.91%;2014;00:01:09;Kina;Azija;Prirodne nauke
5844;Arhitektura i urbanizam;1042;962;69.49%;2014;00:01:33;Bugarska;Evropa;Tehničke nauke
5847;Ekonomija, bankarstvo i finansije;379;366;70.10%;2014;00:01:19;Tajland;Evropa;Društvene nauke
5848;Ekonomija, bankarstvo i finansije;316;299;71.43%;2014;00:01:09;Holandija;Evropa;Društvene nauke
5849;Fizika;1028;1002;62.06%;2014;00:01:01;Srbija;Evropa;Prirodne nauke
5851;Filologija;317;300;67.26%;2014;00:01:35;Srbija;Evropa;Humanističke nauke
5853;Ekonomija, bankarstvo i finansije;487;454;63.35%;2014;00:01:29;Srbija;Evropa;Društvene nauke
5854;Filologija;1060;1024;75.20%;2014;00:01:44;Srbija;Evropa;Humanističke nauke
5855;Fizika;1001;938;73.53%;2014;00:01:28;Holandija;Evropa;Prirodne nauke
5857;Filologija;676;642;68.06%;2014;00:02:05;Srbija;Evropa;Humanističke nauke
5860;Ekonomija, bankarstvo i finansije;3674;3372;49.93%;2014;00:01:20;Italija;Evropa;Društvene nauke
5861;Ekonomija, bankarstvo i finansije;935;891;70.87%;2014;00:01:17;Srbija;Evropa;Društvene nauke
5863;Biotehnologija;1254;1201;67.90%;2014;00:01:01;Francuska;Evropa;Biotehničke nauke
5864;Biološke nauke;731;695;70.07%;2014;00:01:34;Indonezija;Azija;Prirodne nauke
5865;Ekonomija, bankarstvo i finansije;360;330;58.68%;2014;00:01:13;Italija;Evropa;Društvene nauke
5866;Menadžment;253;244;59.42%;2014;00:01:45;Italija;Evropa;Društvene nauke
5867;Ekonomija, bankarstvo i finansije;345;324;60.91%;2014;00:01:03;Japan;Azija;Društvene nauke
5869;Filologija;565;533;65.75%;2014;00:01:35;Turska;Evropa;Tehničke nauke
5870;Ekonomija, bankarstvo i finansije;2213;2044;53.76%;2014;00:01:30;Nemačka;Evropa;Društvene nauke
